txn_id,network,merchant,txn_date,auth_amount,auth_status,decline_code,clearing_status,clearing_amount,settlement_status,settlement_amount
TXN000028,Mastercard,Merchant_Pharmacy_14,2026-04-29,958.27,Approved,,Cleared,958.27,Settled,958.27
TXN000029,Visa,Merchant_Fashion_02,2026-05-19,3278.12,Approved,,Cleared,3278.12,Settled,3278.12
TXN000030,Mastercard,Merchant_Pharmacy_14,2026-02-24,2453.92,Approved,,Cleared,2453.92,Settled,2433.79
TXN000031,Amex,Merchant_Fashion_10,2026-05-23,2143.89,Approved,,Cleared,2143.89,Settled,2143.89
TXN000032,Visa,Merchant_Grocery_19,2026-01-16,3691.9,Approved,,Cleared,3691.9,Settled,3691.9
TXN000033,Mastercard,Merchant_Fashion_02,2026-01-21,4805.86,Approved,,Cleared,4805.86,Settled,4805.86
TXN000034,Amex,Merchant_Travel_04,2026-05-26,4710.9,Approved,,Cleared,4710.9,Settled,4710.9
TXN000035,RuPay,Merchant_Electronics_09,2026-03-22,1061.08,Approved,,Cleared,1061.08,Settled,1061.08
TXN000036,RuPay,Merchant_Grocery_03,2026-06-09,96.11,Approved,,Cleared,96.11,Settled,96.11
TXN000037,RuPay,Merchant_Fuel_05,2026-01-18,4669.63,Approved,,Cleared,4669.63,Settled,4669.63
TXN000038,RuPay,Merchant_Travel_20,2026-06-17,4920.07,Approved,,Cleared,4920.07,Settled,4920.07
TXN000039,Visa,Merchant_Fuel_05,2026-01-28,1359.11,Approved,,Cleared,1359.11,Settled,1359.11
TXN000040,RuPay,Merchant_Restaurant_07,2026-03-09,3453.11,Approved,,Cleared,3453.11,Settled,3453.11
TXN000041,Amex,Merchant_Electronics_09,2026-03-27,268.23,Approved,,Cleared,268.23,Settled,268.23
TXN000042,Amex,Merchant_Fashion_18,2026-01-20,97.87,Approved,,Cleared,97.87,Settled,97.87
TXN000043,RuPay,Merchant_Grocery_19,2026-04-21,2785.0,Approved,,Cleared,2785.0,Settled,2785.0
TXN000044,Visa,Merchant_Travel_12,2026-03-05,1089.88,Approved,,Cleared,1089.88,Settled,1089.88
TXN000045,Mastercard,Merchant_Hotel_08,2026-02-15,4329.8,Approved,,Not Cleared,,,
TXN000046,RuPay,Merchant_Pharmacy_14,2026-03-05,4021.06,Approved,,Cleared,4021.06,Settled,4021.06
TXN000047,Amex,Merchant_Hotel_08,2026-04-28,1037.89,Approved,,Cleared,1037.89,Settled,1037.89
TXN000048,Mastercard,Merchant_Fuel_13,2026-01-18,1674.9,Approved,,Cleared,1674.9,Settled,1674.9
TXN000049,RuPay,Merchant_Electronics_01,2026-03-08,620.94,Approved,,Cleared,620.94,Settled,620.94
TXN000050,Amex,Merchant_Travel_12,2026-03-22,3656.3,Approved,,Cleared,3656.3,Settled,3656.3
TXN000051,Mastercard,Merchant_Electronics_09,2026-04-22,269.71,Declined,14,,,,
TXN000052,Mastercard,Merchant_Travel_12,2026-06-20,2184.92,Approved,,Cleared,2184.92,Settled,2184.92
TXN000053,RuPay,Merchant_Electronics_17,2026-04-15,1580.96,Approved,,Cleared,1580.96,Settled,1580.96
TXN000054,Amex,Merchant_Pharmacy_06,2026-03-19,3096.8,Approved,,Cleared,3096.8,Settled,3096.8
TXN000055,RuPay,Merchant_Restaurant_15,2026-06-22,2236.84,Approved,,Cleared,2236.84,Settled,2236.84
TXN000056,Mastercard,Merchant_Grocery_03,2026-06-19,1454.74,Approved,,Cleared,1454.74,Settled,1454.74
TXN000057,RuPay,Merchant_Hotel_08,2026-02-07,4042.49,Declined,51,,,,
TXN000058,Amex,Merchant_Travel_20,2026-01-19,4256.2,Approved,,Cleared,4256.2,Settled,4256.2
TXN000059,Amex,Merchant_Hotel_16,2026-02-07,2028.28,Approved,,Not Cleared,,,
TXN000060,Visa,Merchant_Pharmacy_14,2026-06-28,1133.26,Approved,,Cleared,1133.26,Settled,1133.26
TXN000061,Amex,Merchant_Fuel_05,2026-06-20,4017.01,Approved,,Cleared,4017.01,Settled,4017.01
TXN000062,Amex,Merchant_Travel_20,2026-05-10,4084.28,Approved,,Cleared,4084.28,Settled,4084.28
TXN000063,Amex,Merchant_Restaurant_15,2026-03-05,1333.0,Approved,,Cleared,1333.0,Settled,1333.0
TXN000064,Mastercard,Merchant_Electronics_09,2026-03-15,2227.37,Approved,,Cleared,2227.37,Settled,2227.37
TXN000065,Mastercard,Merchant_Hotel_08,2026-02-09,1946.02,Approved,,Cleared,1946.02,Settled,1946.02
TXN000066,Amex,Merchant_Fashion_02,2026-04-18,1073.83,Approved,,Cleared,1073.83,Settled,1029.68
TXN000067,Amex,Merchant_Hotel_16,2026-04-01,79.19,Approved,,Cleared,79.19,Settled,79.19
TXN000068,Mastercard,Merchant_Hotel_16,2026-04-22,1136.14,Approved,,Cleared,1136.14,Settled,1136.14
TXN000069,Mastercard,Merchant_Restaurant_15,2026-06-09,4601.73,Approved,,Cleared,4601.73,Settled,4601.73
TXN000070,Visa,Merchant_Pharmacy_14,2026-04-29,721.71,Approved,,Cleared,721.71,Settled,721.71
TXN000071,RuPay,Merchant_Fuel_13,2026-04-18,1427.37,Approved,,Cleared,1427.37,Not Settled,
TXN000072,Visa,Merchant_Travel_12,2026-01-18,1159.9,Approved,,Cleared,1159.9,Settled,1159.9
TXN000073,Mastercard,Merchant_Electronics_01,2026-03-03,3125.61,Approved,,Cleared,3125.61,Settled,3125.61
TXN000074,RuPay,Merchant_Travel_12,2026-06-05,880.56,Approved,,Cleared,880.56,Settled,880.56
TXN000075,RuPay,Merchant_Travel_04,2026-03-21,2914.49,Approved,,Cleared,2914.49,Settled,2914.49
TXN000076,Mastercard,Merchant_Grocery_03,2026-06-10,2980.88,Approved,,Cleared,2980.88,Settled,2980.88
TXN000077,Visa,Merchant_Grocery_19,2026-03-30,3924.04,Approved,,Cleared,3924.04,Settled,3924.04
TXN000078,Visa,Merchant_Pharmacy_14,2026-01-28,4120.54,Approved,,Cleared,4120.54,Settled,4120.54
TXN000079,Mastercard,Merchant_Pharmacy_14,2026-05-14,921.88,Approved,,Cleared,921.88,Settled,921.88
TXN000080,Amex,Merchant_Restaurant_15,2026-06-01,2206.09,Approved,,Cleared,2206.09,Settled,2206.09
TXN000081,Amex,Merchant_Hotel_08,2026-05-26,3764.86,Approved,,Cleared,3764.86,Not Settled,
TXN000082,RuPay,Merchant_Pharmacy_06,2026-04-01,2463.37,Approved,,Cleared,2463.37,Settled,2463.37
TXN000083,RuPay,Merchant_Fashion_18,2026-02-18,100.25,Declined,61,,,,
TXN000084,Amex,Merchant_Fashion_18,2026-06-26,3802.92,Approved,,Cleared,3802.92,Settled,3787.5
TXN000085,Amex,Merchant_Hotel_08,2026-05-29,1565.72,Approved,,Cleared,1565.72,Settled,1565.72
TXN000086,RuPay,Merchant_Travel_12,2026-03-11,3529.13,Approved,,Cleared,3529.13,Settled,3529.13
TXN000087,Mastercard,Merchant_Restaurant_07,2026-05-04,1121.1,Approved,,Cleared,1121.1,Settled,1121.1
TXN000088,Visa,Merchant_Restaurant_07,2026-04-03,1516.42,Approved,,Not Cleared,,,
TXN000089,Mastercard,Merchant_Electronics_09,2026-01-14,275.3,Approved,,Cleared,275.3,Settled,275.3
TXN000090,Amex,Merchant_Travel_04,2026-05-27,4369.96,Approved,,Cleared,4369.96,Settled,4369.96
TXN000091,RuPay,Merchant_Hotel_16,2026-01-17,614.73,Approved,,Cleared,614.73,Settled,614.73
TXN000092,Mastercard,Merchant_Grocery_19,2026-01-22,4748.17,Approved,,Cleared,4748.17,Settled,4748.17
TXN000093,Mastercard,Merchant_Electronics_17,2026-04-24,1932.87,Approved,,Cleared,1932.87,Settled,1932.87
TXN000094,Visa,Merchant_Travel_20,2026-01-26,4802.54,Approved,,Cleared,4802.54,Settled,4802.54
TXN000095,Mastercard,Merchant_Hotel_08,2026-01-20,910.38,Approved,,Cleared,910.38,Settled,910.38
TXN000096,Visa,Merchant_Hotel_08,2026-03-14,1476.12,Approved,,Cleared,1476.12,Settled,1476.12
TXN000097,Mastercard,Merchant_Pharmacy_14,2026-02-27,618.14,Approved,,Cleared,618.14,Settled,618.14
TXN000098,Mastercard,Merchant_Fashion_10,2026-05-26,2995.47,Approved,,Cleared,2995.47,Settled,2995.47
TXN000099,Amex,Merchant_Electronics_09,2026-05-07,2527.34,Approved,,Cleared,2527.34,Settled,2527.34
TXN000100,RuPay,Merchant_Electronics_01,2026-06-22,502.07,Approved,,Cleared,502.07,Settled,502.07
TXN000101,RuPay,Merchant_Grocery_19,2026-02-14,249.15,Approved,,Cleared,249.15,Settled,249.15
TXN000102,Amex,Merchant_Hotel_16,2026-05-01,4846.82,Approved,,Cleared,4846.82,Settled,4846.82
TXN000103,RuPay,Merchant_Pharmacy_14,2026-03-15,3483.68,Approved,,Cleared,3483.68,Settled,3483.68
TXN000104,Visa,Merchant_Grocery_11,2026-01-30,1299.37,Approved,,Cleared,1299.37,Settled,1299.37
TXN000105,Amex,Merchant_Pharmacy_14,2026-05-13,318.31,Approved,,Cleared,318.31,Settled,318.31
TXN000106,Mastercard,Merchant_Electronics_09,2026-03-15,2768.64,Approved,,Cleared,2768.64,Settled,2768.64
TXN000107,Mastercard,Merchant_Pharmacy_06,2026-01-04,1588.21,Approved,,Cleared,1588.21,Settled,1588.21
TXN000108,Amex,Merchant_Travel_04,2026-02-09,3256.16,Approved,,Cleared,3256.16,Settled,3256.16
TXN000109,Amex,Merchant_Hotel_16,2026-05-22,1256.47,Approved,,Cleared,1256.47,Settled,1256.47
TXN000110,Mastercard,Merchant_Grocery_03,2026-04-17,1417.42,Approved,,Cleared,1417.42,Settled,1380.84
TXN000111,Amex,Merchant_Fuel_05,2026-05-04,2260.41,Approved,,Cleared,2260.41,Settled,2260.41
TXN000112,RuPay,Merchant_Restaurant_07,2026-03-03,4904.83,Approved,,Cleared,4904.83,Settled,4904.83
TXN000113,Amex,Merchant_Fuel_13,2026-06-19,1961.09,Approved,,Cleared,1961.09,Settled,1961.09
TXN000114,Mastercard,Merchant_Electronics_17,2026-03-26,4828.5,Approved,,Cleared,4828.5,Settled,4828.5
TXN000115,Amex,Merchant_Electronics_01,2026-04-15,3626.1,Approved,,Cleared,3626.1,Settled,3626.1
TXN000116,RuPay,Merchant_Grocery_11,2026-04-12,3135.13,Approved,,Cleared,3135.13,Settled,3135.13
TXN000117,Amex,Merchant_Grocery_11,2026-05-05,3152.66,Approved,,Not Cleared,,,
TXN000118,Visa,Merchant_Hotel_08,2026-03-15,3174.25,Approved,,Cleared,3174.25,Settled,3174.25
TXN000119,Visa,Merchant_Restaurant_15,2026-03-18,873.51,Approved,,Not Cleared,,,
TXN000120,Visa,Merchant_Fashion_10,2026-04-21,1824.39,Approved,,Cleared,1824.39,Settled,1824.39
TXN000121,Mastercard,Merchant_Pharmacy_06,2026-04-08,440.89,Approved,,Cleared,440.89,Settled,440.89
TXN000122,Amex,Merchant_Electronics_09,2026-06-20,2324.87,Declined,61,,,,
TXN000123,RuPay,Merchant_Fashion_18,2026-04-24,831.98,Approved,,Cleared,831.98,Settled,831.98
TXN000124,RuPay,Merchant_Restaurant_15,2026-02-20,4234.25,Approved,,Cleared,4234.25,Settled,4234.25
TXN000125,RuPay,Merchant_Grocery_19,2026-06-29,1514.57,Approved,,Cleared,1514.57,Settled,1514.57
TXN000126,Visa,Merchant_Travel_20,2026-03-15,3738.6,Approved,,Cleared,3738.6,Settled,3738.6
TXN000127,Mastercard,Merchant_Travel_20,2026-06-18,1290.6,Approved,,Cleared,1290.6,Settled,1290.6
TXN000128,Visa,Merchant_Fashion_10,2026-01-09,3953.62,Approved,,Cleared,3953.62,Settled,3953.62
TXN000129,Amex,Merchant_Pharmacy_06,2026-05-19,1043.93,Approved,,Cleared,1043.93,Settled,1043.93
TXN000130,Mastercard,Merchant_Electronics_09,2026-05-04,4574.54,Approved,,Cleared,4574.54,Settled,4574.54
TXN000131,Amex,Merchant_Grocery_03,2026-02-27,746.75,Approved,,Cleared,746.75,Settled,746.75
TXN000132,RuPay,Merchant_Grocery_03,2026-01-04,3963.88,Approved,,Cleared,3963.88,Settled,3963.88
TXN000133,RuPay,Merchant_Grocery_19,2026-06-13,1936.08,Approved,,Cleared,1936.08,Settled,1891.75
TXN000134,RuPay,Merchant_Travel_20,2026-01-17,1145.77,Approved,,Cleared,1145.77,Settled,1145.77
TXN000135,Visa,Merchant_Fuel_05,2026-01-10,274.47,Approved,,Cleared,274.47,Settled,274.47
TXN000136,Mastercard,Merchant_Fuel_13,2026-06-21,2295.54,Approved,,Cleared,2295.54,Settled,2295.54
TXN000137,Mastercard,Merchant_Pharmacy_14,2026-05-06,3291.86,Approved,,Cleared,3291.86,Settled,3291.86
TXN000138,Mastercard,Merchant_Restaurant_15,2026-03-02,2251.24,Approved,,Cleared,2251.24,Settled,2251.24
TXN000139,RuPay,Merchant_Fashion_02,2026-02-18,2020.79,Approved,,Cleared,2020.79,Settled,2020.79
TXN000140,Mastercard,Merchant_Travel_20,2026-01-13,4856.91,Approved,,Cleared,4856.91,Settled,4856.91
TXN000141,Visa,Merchant_Fashion_18,2026-02-25,1075.43,Approved,,Cleared,1075.43,Settled,1075.43
TXN000142,Visa,Merchant_Electronics_09,2026-02-07,4299.11,Approved,,Cleared,4299.11,Settled,4299.11
TXN000143,Visa,Merchant_Fuel_05,2026-03-02,123.56,Approved,,Not Cleared,,,
TXN000144,RuPay,Merchant_Fashion_02,2026-04-18,677.45,Approved,,Cleared,677.45,Settled,677.45
TXN000145,Visa,Merchant_Restaurant_15,2026-06-07,2544.0,Declined,14,,,,
TXN000146,RuPay,Merchant_Restaurant_15,2026-01-08,3234.54,Declined,61,,,,
TXN000147,Amex,Merchant_Pharmacy_14,2026-05-06,3446.18,Approved,,Cleared,3446.18,Settled,3446.18
TXN000148,Mastercard,Merchant_Grocery_03,2026-06-09,674.65,Approved,,Cleared,674.65,Settled,674.65
TXN000149,RuPay,Merchant_Restaurant_15,2026-04-21,2552.48,Declined,05,,,,
TXN000150,Mastercard,Merchant_Pharmacy_14,2026-02-28,2285.2,Approved,,Cleared,2285.2,Settled,2285.2
TXN000151,RuPay,Merchant_Pharmacy_14,2026-03-07,1596.99,Approved,,Cleared,1596.99,Settled,1596.99
TXN000152,Visa,Merchant_Grocery_03,2026-04-06,2187.79,Approved,,Cleared,2187.79,Settled,2187.79
TXN000153,RuPay,Merchant_Travel_04,2026-06-20,2083.5,Approved,,Cleared,2083.5,Settled,2083.5
TXN000154,RuPay,Merchant_Travel_20,2026-01-27,1596.62,Approved,,Cleared,1596.62,Settled,1596.62
TXN000155,Visa,Merchant_Travel_12,2026-04-05,4234.6,Approved,,Cleared,4234.6,Settled,4234.6
TXN000156,Visa,Merchant_Travel_20,2026-06-27,4648.97,Approved,,Cleared,4648.97,Settled,4648.97
TXN000157,RuPay,Merchant_Travel_12,2026-02-06,80.22,Approved,,Cleared,80.22,Settled,80.22
TXN000158,Visa,Merchant_Grocery_03,2026-02-25,3743.25,Approved,,Cleared,3743.25,Settled,3743.25
TXN000159,RuPay,Merchant_Grocery_19,2026-01-14,3001.31,Approved,,Cleared,3001.31,Settled,3001.31
TXN000160,Amex,Merchant_Pharmacy_14,2026-04-24,2454.03,Approved,,Cleared,2454.03,Settled,2454.03
TXN000161,Visa,Merchant_Fashion_10,2026-06-01,3407.18,Approved,,Cleared,3407.18,Settled,3407.18
TXN000162,Visa,Merchant_Electronics_01,2026-02-24,1061.89,Approved,,Cleared,1061.89,Settled,1061.89
TXN000163,Amex,Merchant_Pharmacy_14,2026-04-08,919.69,Approved,,Cleared,919.69,Settled,919.69
TXN000164,RuPay,Merchant_Grocery_03,2026-01-11,2015.5,Approved,,Cleared,2015.5,Settled,2015.5
TXN000165,Amex,Merchant_Grocery_19,2026-06-13,2051.89,Approved,,Cleared,2051.89,Not Settled,
TXN000166,RuPay,Merchant_Pharmacy_06,2026-06-08,4016.54,Approved,,Cleared,4016.54,Settled,4016.54
TXN000167,Visa,Merchant_Hotel_08,2026-04-13,2206.6,Approved,,Cleared,2206.6,Settled,2206.6
TXN000168,RuPay,Merchant_Pharmacy_06,2026-06-12,428.08,Approved,,Cleared,428.08,Settled,428.08
TXN000169,Mastercard,Merchant_Hotel_08,2026-03-07,558.88,Approved,,Cleared,558.88,Settled,558.88
TXN000170,Mastercard,Merchant_Hotel_16,2026-05-25,2346.57,Approved,,Cleared,2346.57,Settled,2346.57
TXN000171,RuPay,Merchant_Grocery_11,2026-01-18,797.24,Approved,,Cleared,797.24,Settled,797.24
TXN000172,RuPay,Merchant_Electronics_17,2026-04-29,417.24,Approved,,Cleared,417.24,Settled,417.24
TXN000173,Visa,Merchant_Travel_20,2026-04-09,2990.7,Approved,,Cleared,2990.7,Settled,2990.7
TXN000174,Amex,Merchant_Grocery_19,2026-03-24,3276.6,Approved,,Cleared,3276.6,Settled,3276.6
TXN000175,RuPay,Merchant_Grocery_03,2026-02-14,2547.52,Declined,61,,,,
TXN000176,Amex,Merchant_Electronics_17,2026-02-10,2637.6,Approved,,Cleared,2637.6,Settled,2637.6
TXN000177,Visa,Merchant_Grocery_11,2026-01-25,376.26,Approved,,Cleared,376.26,Settled,376.26
TXN000178,Mastercard,Merchant_Grocery_11,2026-06-19,453.43,Approved,,Cleared,453.43,Settled,453.43
TXN000179,Amex,Merchant_Fuel_05,2026-01-22,2995.45,Approved,,Cleared,2995.45,Settled,2995.45
TXN000180,Visa,Merchant_Pharmacy_14,2026-01-05,2567.02,Approved,,Cleared,2567.02,Settled,2567.02
TXN000181,Amex,Merchant_Restaurant_07,2026-02-05,1171.39,Approved,,Cleared,1171.39,Settled,1171.39
TXN000182,Visa,Merchant_Grocery_11,2026-06-08,4388.14,Approved,,Cleared,4388.14,Settled,4388.14
TXN000183,Mastercard,Merchant_Restaurant_15,2026-04-04,266.28,Approved,,Cleared,266.28,Settled,266.28
TXN000184,Amex,Merchant_Hotel_08,2026-03-21,2693.36,Approved,,Cleared,2693.36,Settled,2693.36
TXN000185,Amex,Merchant_Restaurant_15,2026-04-08,3858.72,Approved,,Cleared,3858.72,Settled,3858.72
TXN000186,Mastercard,Merchant_Electronics_09,2026-05-04,308.29,Approved,,Cleared,308.29,Settled,308.29
TXN000187,Visa,Merchant_Fashion_10,2026-02-11,465.18,Approved,,Cleared,465.18,Settled,465.18
TXN000188,Mastercard,Merchant_Restaurant_15,2026-01-07,4428.92,Approved,,Cleared,4428.92,Settled,4428.92
TXN000189,Visa,Merchant_Travel_12,2026-03-23,1161.47,Approved,,Cleared,1161.47,Settled,1161.47
TXN000190,Mastercard,Merchant_Fashion_02,2026-05-01,1470.05,Approved,,Cleared,1470.05,Settled,1470.05
TXN000191,Visa,Merchant_Grocery_03,2026-02-25,144.07,Approved,,Cleared,144.07,Settled,144.07
TXN000192,Visa,Merchant_Fashion_10,2026-02-01,1226.32,Declined,61,,,,
TXN000193,Amex,Merchant_Grocery_03,2026-05-08,598.75,Approved,,Not Cleared,,,
TXN000194,Mastercard,Merchant_Fuel_05,2026-01-01,1491.8,Approved,,Cleared,1491.8,Settled,1491.8
TXN000195,Visa,Merchant_Electronics_17,2026-01-18,4874.54,Approved,,Cleared,4874.54,Settled,4874.54
TXN000196,Visa,Merchant_Fuel_13,2026-01-12,4372.99,Approved,,Cleared,4372.99,Settled,4333.35
TXN000197,RuPay,Merchant_Hotel_08,2026-06-10,3678.06,Approved,,Cleared,3678.06,Settled,3678.06
TXN000198,RuPay,Merchant_Fashion_18,2026-06-14,1725.81,Approved,,Cleared,1725.81,Settled,1725.81
TXN000199,Mastercard,Merchant_Fuel_05,2026-04-28,362.35,Declined,51,,,,
TXN000200,Visa,Merchant_Restaurant_07,2026-03-22,4434.66,Approved,,Cleared,4434.66,Settled,4434.66
TXN000201,RuPay,Merchant_Fashion_02,2026-02-18,3778.79,Approved,,Cleared,3778.79,Settled,3778.79
TXN000202,RuPay,Merchant_Travel_04,2026-04-22,4006.74,Approved,,Cleared,4006.74,Settled,4006.74
TXN000203,Mastercard,Merchant_Hotel_16,2026-04-05,3475.74,Approved,,Cleared,3475.74,Settled,3475.74
TXN000204,Visa,Merchant_Pharmacy_14,2026-02-16,3032.14,Approved,,Cleared,3032.14,Settled,3032.14
TXN000205,RuPay,Merchant_Restaurant_15,2026-04-20,3032.98,Approved,,Cleared,3032.98,Settled,3032.98
TXN000206,RuPay,Merchant_Travel_20,2026-03-12,4990.85,Approved,,Cleared,4990.85,Settled,4990.85
TXN000207,Amex,Merchant_Travel_12,2026-06-23,2589.78,Approved,,Not Cleared,,,
TXN000208,Amex,Merchant_Fashion_02,2026-03-02,674.84,Approved,,Cleared,674.84,Settled,674.84
TXN000209,Mastercard,Merchant_Restaurant_15,2026-04-06,4746.68,Approved,,Cleared,4746.68,Settled,4746.68
TXN000210,RuPay,Merchant_Electronics_09,2026-01-30,1285.58,Declined,51,,,,
TXN000211,Amex,Merchant_Electronics_17,2026-05-24,1965.59,Approved,,Cleared,1965.59,Settled,1965.59
TXN000212,RuPay,Merchant_Hotel_16,2026-02-04,1040.88,Approved,,Cleared,1040.88,Settled,1040.88
TXN000213,Visa,Merchant_Grocery_11,2026-01-17,3355.81,Approved,,Cleared,3355.81,Settled,3355.81
TXN000214,Mastercard,Merchant_Travel_12,2026-02-01,2568.34,Approved,,Cleared,2568.34,Settled,2568.34
TXN000215,RuPay,Merchant_Fashion_18,2026-04-30,2882.77,Approved,,Cleared,2882.77,Settled,2882.77
TXN000216,RuPay,Merchant_Fuel_13,2026-05-03,4998.0,Approved,,Cleared,4998.0,Settled,4998.0
TXN000217,RuPay,Merchant_Grocery_03,2026-06-24,2277.37,Approved,,Cleared,2277.37,Settled,2277.37
TXN000218,Mastercard,Merchant_Fuel_05,2026-01-15,2191.46,Approved,,Cleared,2191.46,Settled,2191.46
TXN000219,Mastercard,Merchant_Travel_12,2026-05-13,4740.04,Approved,,Cleared,4740.04,Settled,4740.04
TXN000220,RuPay,Merchant_Fuel_05,2026-06-07,3143.86,Approved,,Cleared,3143.86,Settled,3143.86
TXN000221,Mastercard,Merchant_Pharmacy_06,2026-06-04,3310.73,Approved,,Cleared,3310.73,Settled,3310.73
TXN000222,Visa,Merchant_Fashion_02,2026-05-28,4745.31,Approved,,Cleared,4745.31,Settled,4745.31
TXN000223,Visa,Merchant_Hotel_16,2026-05-20,4450.53,Approved,,Cleared,4450.53,Settled,4450.53
TXN000224,Amex,Merchant_Fashion_10,2026-06-26,2295.04,Declined,61,,,,
TXN000225,Amex,Merchant_Hotel_16,2026-03-29,2348.99,Approved,,Cleared,2348.99,Settled,2348.99
TXN000226,RuPay,Merchant_Fuel_13,2026-04-05,697.29,Approved,,Cleared,697.29,Settled,697.29
TXN000227,Amex,Merchant_Hotel_08,2026-01-13,747.34,Approved,,Cleared,747.34,Settled,747.34
TXN000228,Mastercard,Merchant_Grocery_11,2026-03-22,4672.07,Approved,,Cleared,4672.07,Settled,4672.07
TXN000229,RuPay,Merchant_Hotel_16,2026-04-11,164.72,Approved,,Cleared,164.72,Settled,164.72
TXN000230,Visa,Merchant_Fashion_10,2026-06-17,2499.73,Approved,,Cleared,2499.73,Not Settled,
TXN000231,Visa,Merchant_Pharmacy_14,2026-03-09,712.98,Approved,,Cleared,712.98,Settled,712.98
TXN000232,Mastercard,Merchant_Travel_12,2026-01-19,2788.45,Approved,,Cleared,2788.45,Settled,2788.45
TXN000233,Visa,Merchant_Fuel_05,2026-04-11,4876.66,Approved,,Cleared,4876.66,Settled,4876.66
TXN000234,Mastercard,Merchant_Restaurant_07,2026-04-13,3032.19,Approved,,Not Cleared,,,
TXN000235,Mastercard,Merchant_Grocery_11,2026-05-13,4029.63,Approved,,Cleared,4029.63,Settled,4029.63
TXN000236,RuPay,Merchant_Pharmacy_06,2026-06-07,1995.13,Approved,,Cleared,1995.13,Settled,1995.13
TXN000237,Amex,Merchant_Grocery_19,2026-01-05,1533.96,Approved,,Cleared,1533.96,Settled,1533.96
TXN000238,Visa,Merchant_Travel_20,2026-06-17,2399.22,Approved,,Cleared,2399.22,Settled,2399.22
TXN000239,Amex,Merchant_Pharmacy_06,2026-06-08,2644.95,Approved,,Cleared,2644.95,Settled,2644.95
TXN000240,Visa,Merchant_Restaurant_07,2026-03-22,143.74,Approved,,Cleared,143.74,Settled,143.74
TXN000241,Amex,Merchant_Fashion_02,2026-05-13,3543.59,Approved,,Cleared,3543.59,Settled,3543.59
TXN000242,RuPay,Merchant_Pharmacy_06,2026-05-17,2325.33,Approved,,Cleared,2325.33,Settled,2325.33
